split_group_id,n_members,members,member_clades,resolved_clades,contains_unresolved,quarantine_anchors,requires_manual_review,group_label,group_status,partition_eligible
MIDPIWI_006d4d26a3a42f8c,1,WP_055195547.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_011be70c20da42ad,1,WP_088257333.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_01511af4fbdae408,1,WP_026764177.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_01dd422b1c3ec451,2,WP_002801241.1 WP_008205290.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_02406a431cc6cc30,2,WP_034679766.1 WP_034870033.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_025d1021ed1e661c,1,WP_078365264.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_02d5ad8761218efb,1,WP_087738801.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_030a536c9416cef7,2,WP_005372460.1 WP_031431803.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_04968432b8f4c165,1,WP_013878483.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_04cf15c85b9069c5,1,WP_096386367.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_065eda7d97120487,4,WP_011516870.1 WP_018005263.1 WP_037057030.1 WP_061958300.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0669a0bab5d4842a,7,NP_443795.1 WP_010875054.1 WP_011971022.1 WP_075634049.1 WP_088194762.1 WP_097544715.1 YP_001314988.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0700244e5ddfa102,1,WP_085937813.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_075d5502fca55f74,1,WP_064665417.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_075f9e1973f878ca,1,WP_060408162.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_07733cf03fc7d206,1,WP_052192192.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_07959f09f108fb4e,1,WP_094291738.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_07db87b6888a5010,1,WP_009787621.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_0853a3995121cffa,1,WP_092226355.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_08a71e1aa32199f7,4,WP_008390487.1 WP_011996092.1 WP_036284033.1 WP_099832012.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_08b37b6a20f49a29,1,WP_088891256.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_095575ac04155f73,2,WP_026927916.1 WP_077684788.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_097c385b74b1513d,1,WP_015895835.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0a4870732b68821a,1,WP_066548972.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0a5ef9605f23eb0e,1,WP_074856960.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_0a6aa042c8aabe2d,1,WP_088656112.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_0aa9237ef5f4d242,1,WP_028031285.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0ad414b1213eaf42,7,WP_007015521.1 WP_010683363.1 WP_024021728.1 WP_058195190.1 WP_068094634.1 WP_075628771.1 WP_093081848.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0b1adb1d7baa904b,1,WP_083716754.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0b4395374b85c285,1,WP_072554966.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_0bebb83812123aa2,1,WP_015056743.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0c58a2dacb20122a,1,WP_015791216.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_0c9753f6d72fed68,1,WP_083967189.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0d40193e61a3a396,1,WP_034404411.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_0d52c74354374133,1,WP_052846682.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_0e39a1e63fc0160e,1,WP_012952863.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_0e5a841267a85668,1,WP_090624110.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0e8f6a716aaa1d26,1,WP_062128845.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0ead8626a4e2a417,1,WP_089355803.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0eb56b911e1ec74f,1,WP_028095444.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0f227a35f8a27ae7,1,WP_042419824.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0f4639929da3114c,7,WP_039442424.1 WP_043087749.1 WP_057498726.1 WP_057502543.1 WP_062171242.1 WP_082340613.1 WP_088100472.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0f5adf7dded57482,1,WP_018016395.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0fa11ebaa669f6f1,1,WP_077026978.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_0fa13e543b1bff92,1,WP_008387991.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_0fbd9a5cadd1a0f7,3,WP_006111085.1 WP_049917000.1 WP_049969002.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_103f347d8d350f03,1,WP_006270761.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_105569cba2c176c9,1,WP_029193119.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_109d9ca08b8e14fd,1,WP_051559024.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_10a10aa135d3273b,1,WP_099799494.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_114befab0db77609,1,WP_004672358.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_118cb97cc0a38ed3,1,WP_012735993.1,UNRESOLVED,,True,SiAgo,True,UNRESOLVED_ONLY,QUARANTINE,False
MIDPIWI_11b445d833cc64ad,2,WP_014956171.1 WP_031452536.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_122ca674f6bf141c,5,WP_008580551.1 WP_058568616.1 WP_066419254.1 WP_089699122.1 WP_092907645.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1261d5ab6af3c92f,2,WP_004968197.1 WP_049907365.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_12a0cdebdc7f010d,5,WP_004594459.1 WP_006169674.1 WP_008458795.1 WP_049938490.1 WP_049943687.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_12efb04b39d360e5,1,WP_079365507.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_1307869cf014a2ea,1,WP_044171549.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_138d268c2a51f984,1,WP_026448204.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_141bb4f9d2a4c4eb,1,WP_099531684.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_14310a79dfc93783,1,WP_026423302.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_143697ad68f03424,1,WP_084286803.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_14756af0c97cdf5e,1,WP_090996333.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_147c88985e16d628,1,WP_022727543.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_147eaecce301e5d0,1,WP_015157107.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_151a1db53a012e1a,1,WP_089765999.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_153c759b8da55c36,1,WP_077117441.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_15f78a9f7a1bcf23,2,WP_032135203.1 WP_091535645.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_16612ea6d4784f06,1,WP_061096135.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_16d7c62064efc8d1,1,WP_099434566.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_16f8a17656cc3cea,7,WP_012575214.1 WP_026011736.1 WP_035063661.1 WP_035065747.1 WP_042896060.1 WP_055441081.1 WP_085789107.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_173afbfa63a33186,1,WP_019497030.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_1741fb4abff012da,1,WP_062422190.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_17711c22b49b49ee,1,WP_058316939.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_17d7a8f28e69699e,2,WP_010044791.1 WP_029630398.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_18168757e4cb9689,1,WP_065383217.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_182495ebe92d6dd8,1,WP_092282753.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_185a3356700a01cb,2,NP_952414.1 WP_010942012.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_188cc84173fb3253,1,WP_092119516.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_18a7d59355075779,4,WP_059945304.1 WP_085482892.1 WP_089457547.1 WP_100085051.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_19482f28ddf25f2a,1,WP_080977504.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_19d3ba338d6f908f,1,WP_014773309.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_1a059de56e0c71e1,2,NP_630911.1 WP_011031225.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_1a3af7ba992ed0c4,1,WP_094072910.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_1a514573e79860b0,1,WP_043061314.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1acdcd5dddf18095,1,WP_052368014.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_1b4013c2dc00d6ab,4,WP_046237973.1 WP_049284969.1 WP_053244068.1 WP_088326165.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1b5a2e4ae98594ad,1,WP_058282028.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1b637e40e964d7d8,1,WP_048095815.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_1b97de64e32d8e32,1,WP_044394879.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1c1012cef86f4915,1,WP_048500688.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1c21314f688d5264,2,WP_041946582.1 WP_097200709.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1c715db5de08b414,2,WP_049772080.1 WP_082240375.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1cbee3a94e153e27,1,WP_101294153.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
MIDPIWI_1d7720f5919d23e0,1,WP_042608003.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1de07bcaaa948c50,1,WP_073132933.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1e0da772173d098c,1,WP_081444939.1,SHORT,SHORT,False,,False,SINGLE_SHORT,OK,True
MIDPIWI_1fc97cc5288c60f9,1,WP_100990083.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_20ea701a8d9c1050,1,WP_012966655.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_213baed6a61e6361,1,WP_100161590.1,LONG_A,LONG_A,False,,False,SINGLE_LONG_A,OK,True
MIDPIWI_216605e791197a2c,1,WP_081057482.1,LONG_B,LONG_B,False,,False,SINGLE_LONG_B,OK,True
