sequence_id,sequence_sha256,split_group_id
A0A015L744_RHIIW/58-225,437f76175a484a7f613a9c232da0a447db544ed653bb968e018ff5df5dc28375,HISG_d270ccb65fd10f7c
A0A059XRD2_9BACT/48-199,63780e2a24dd21b3efb816f036251c8f75b801f01fa72cb2887b6adef25652bc,HISG_d960d3dcfa347a13
A0A068NPE2_FIMGI/49-204,d15b1cfc04f5d64febf3aed17174cfb2dfc793f666c3fed04ec28bf68c6af203,HISG_62958ac121dab6f9
A0A0D2X809_FUSOF/58-247,d18018834b8cf1817315bd7382c79fdfa2aafb8b1a3d3fcf8f57179f5c0dec00,HISG_db7e2110fef8383d
A0A173TGF3_9FIRM/54-209,d7e8d1d27e5b5313557edc417d1f77ce24366a168db92815a1f5196e886e05b7,HISG_5ae6dc63f7cc9208
A0A1E9VTC1_9GAMM/60-211,849c600c4b09d0a755edb7f41a21a5eb1bf6716a8fb01c349ac01ec4f6e797a1,HISG_6413f9925abd224c
A0A388SCE9_9BURK/51-207,346e1c7ec1726ac1470f2c3a6ac1a94ff0fff4cc8ce3ea5b0f2f126e658484b5,HISG_8b8ba05a18063ae0
A0A3N4DDS0_9ACTN/49-202,d50d39502b2a2b0b5a21db6b5c4e5213be05a10c5a8877099e266f3ace272269,HISG_c8d36ad945971abd
A0A401LDT7_9FIRM/54-206,8a08be1a2cd0b60a67ca9ee122461e81a404481f354940424c257cb2238fc529,HISG_8fbe03932fc7ba8a
A0A412AXC1_9FIRM/53-206,846faff26b2fa3a7e8b0ae080cb310027c678e205d5cca03cf4bf146cd8b3d14,HISG_855e028e65ec58d8
A0A413T363_9BACT/49-204,c517aef03fd782983c3dea7ddbda47ebd13f015d66f8b4e2d81127ad7b5984f8,HISG_fb643f05c48dd16f
A0A416Z0I4_9FIRM/59-212,b5988e8d668fbada8a89e605aa08f849382611a0276273415b2fba2ddd1015ce,HISG_9c21a8a177c2517d
A0A7G1HTY3_9BACT/49-204,8aefef91a577e89750267cd191c7e6aca78af4e654ceb332642c1d44b4a90643,HISG_1610240dac29cf7f
A0A804L4X1_MUSAM/106-283,79abdb6d7709763918afd5b238f16c76835d62013b2743b2f118306e8db9fe89,HISG_4cff9b9b65f11e5d
A0B5A8_METTP/49-209,9a463e0e019fc66b5667a56d0cd45e1eca6acb1daff3e64f745af6ce205fccb8,HISG_21ccfd09822a32cd
A0LCJ1_MAGMM/51-213,06ffe75b84bcca1913c708c95af30789f3aa7deacd343f55f44c4c5fbd7c684e,HISG_9bf6b395c54f3a10
A0LQL9_SYNFM/50-212,23d4479b12aa1b19528949d988946d469d7113745e9004384254598154683471,HISG_0645728b87371361
A0LUD2_ACIC1/50-212,b6bc27e409a23f73adf7b66f290852b617e2e2083f9325fe614ca56457df0866,HISG_8adc963ce2a08c29
A0RZ71_CENSY/49-236,b4e0ddc696341e3234d2b13b59ed4030cd8e4fb07c851a261fd994f0bf6f1b48,HISG_2994767bc41c16ef
A1B3C3_PARDP/52-222,875f4c93c710764fbd4e8851c4d7887840e4f8aeeea9216f6f895354c9c56f32,HISG_6072dee124374384
A1S6Z0_SHEAM/52-217,866e13e45dc7da4e8dd78a3ce7d1aca737e2b2a1939a469d05ab1c052b6697dc,HISG_f15c7c19b1e261d9
A1SJH1_NOCSJ/51-208,2ccb1d75d8f1217fce1982ad17a5f2830e2a9d9c93953ffc767e67cd4372986d,HISG_740bb5e3c93849b5
A2SQQ9_METLZ/52-207,da186cbb562d280b4470609fc6a907885c7297dfe9c96d256e53feeca1544f88,HISG_3169a6fdf0b1ede4
A2U268_9FLAO/51-206,838acc4c7751899cf35a6b25c2a276fc31cdaffc39200592a32ddf4d22983979,HISG_55c6b90e1759f844
A4CLC9_ROBBH/51-206,302fbbadf682d1b314ed8fd0db28ab19ac599a986a0a2a06a6baee8d958f93a1,HISG_c55ccb3479038810
A4RQW7_OSTLU/91-266,987035b989fe6bd7f6e7b347941d6542aa6cadc4a95a75a0e0ae9b6ffa5b912e,HISG_6684cd7de480376c
A5DB59_PICGU/30-192,c900d3c0b80518ea80e1d6ceec723a4755f41a604f880cc76ecfc8d95103b456,HISG_bc24e7209d28e06b
A5G203_ACICJ/75-232,cbce7e106c3e6bd52e818c8a3a5302b6c0d80bf9a3e3c7ff39a49de86902c8ef,HISG_175f5283fd3ffaba
A5I240_CLOBH/58-211,12b91a09582cad06e5870b32e594eb3bd5d26afebb7a497ddc18d6eccf39c060,HISG_ac57c80a9195e52e
A6GY81_FLAPJ/51-206,6f8231aac8494d48127621ebb216a55c1dff4e6ec1e025df024fcdb99b90fb9e,HISG_0218e1664ae77f97
A6VM07_ACTSZ/55-220,45a5cc8fbd73faa226c2dfb42d643f17d4f8531e0dfb24782e014ca35bbcccbf,HISG_a277458649d22817
A6WCA0_KINRD/53-206,445d3e6e1f877f9d024f3ed9271d2e713e47c3ea1358a1b6a96cbfae6f1ffc4a,HISG_d9e9f25cff15e046
A7I3R9_CAMHC/47-200,c0f34d593d075403bc06bf9a5c66b4eb6ca6822ddd9b7d9197991fdb5351d862,HISG_74944f3a67f2b042
