sequence_id,sequence_sha256,split_group_id
A0A0H3GQ78_KLEPH/394-427,5f16b518383f6c95eb2765db80394b0017f827f13310f7ee9d1a82b6d6da2939,EIIB_15b6dac0a7aa0ca0
A0A0H3GWN7_KLEPH/10-43,95b9fe922c287b59f406f1ccb0026a2b7a54a6a7b56a0e8cb209e0e81c286ecf,EIIB_35377c4c906e28b0
A0A0H3H0B2_KLEPH/11-43,4fdec188e8bf455b492adf52f45d630f0e3cc9f3f83247ffa5b94fe0ff8954a5,EIIB_33702aad74df745a
A0A0H3MUD1_STRS4/427-460,b39684f4d56c03ad777a8a824d15328bb851832d82d63a4a27df8cc2924d5d06,EIIB_6f3214541cc7922e
A0A0H3MW96_STRS4/8-40,277a92d71a767ab6020b84407456528f50df94567714e73ec457ce1e5955972d,EIIB_5933726cfcc613d6
A0A0H3MXF5_STRS4/9-42,ee64f4c7db66e1f0d251c399fb034b5a5c55797d380359fdf8b59d71972b97f2,EIIB_749304197b3fbc45
A0A174NLQ3_9FIRM/8-38,4e87910c736ef7483cddc900a32a68c526ad5c0b9e23ac8e78dd1cb511efc316,EIIB_aef6bf8a5f36e71e
A0A174PGZ5_9FIRM/483-514,a8854820b2ca0a3229b014fa528f2da206006d87dc405870e28d97f5d00626ea,EIIB_9590065c6247c562
A0A2H6C9K0_TETHA/11-43,4086f3ca92116482b0b3b0f62ea76b0e18531cc8e306aa14ebc2ace05dfc6df0,EIIB_37220fec95ed122e
A0A2H6CW90_TETHA/452-484,e5e0d8ff6c391613d88204640301e46072ddf739228245eaada783d51f77e884,EIIB_c263c0f1d1f98bcc
A0A2X2UDG6_9FIRM/10-43,2608b22215112309055e89d3ef1ea40dfefe7511c1cc73203b208ee7e12c79b9,EIIB_9e8046143d417282
A0A380PKJ6_YERPE/29-62,86a98dbbe0588516647cbdba1282f73868305ac4d75c0d3475817c50c8b2a3ed,EIIB_792e9b7f9a62e2a0
