accession,homology_cluster_id,split_group_id,partition,class_label,subgroup,evidence_level,source,source_sequence_id,sequence_sha256
NEG_PF00367_008626e00a815bd14c2b,EIIB_008626e00a815bd1,EIIB_008626e00a815bd1,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A6VPN2_ACTSZ/280-313,11e49f0b1893e0f972dfd96b7bd7aa8df7676bad5bee68e3b519b3654b50cac8
NEG_PF00367_0121e314aa292b7e1337,EIIB_0121e314aa292b7e,EIIB_0121e314aa292b7e,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C9AB17_ENTCA/455-486,1a1a0dd4f69d272043d451965ef4e07c28b93e51b9526255fea3e5c0d782c4b4
NEG_PF00367_01d804010f1d3ab4f115,EIIB_01d804010f1d3ab4,EIIB_01d804010f1d3ab4,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,X5DHL2_9CORY/12-45,24a9c2e8e1b8f6c8c647026c5a694061fdfb9f6df172eb67c3e3c8741551babc
NEG_PF00367_01ec31ed0ed2865e6713,EIIB_01ec31ed0ed2865e,EIIB_01ec31ed0ed2865e,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,G0VLH8_MEGEL/466-499,67d44cab0e13ca9373af9cb3a23af6774ef2fa304cbf0f34483245eb7b72d686
NEG_PF00367_024573c29db27bf4fbfa,EIIB_024573c29db27bf4,EIIB_024573c29db27bf4,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,H6LKQ3_ACEWD/489-522,49c3123c8fd3dc65731c614fecf16d4e9a521c32b00841eac5aee3fa049421c2
NEG_PF00367_037a01549db92eafdd93,EIIB_037a01549db92eaf,EIIB_037a01549db92eaf,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C4LKZ6_CORK4/30-63,08f2358d4ed7e04d30cfe8a24e73393dd6e6fb9809549b794c13df8d51da19c8
NEG_PF00367_03c51568b002b1e0a123,EIIB_03c51568b002b1e0,EIIB_03c51568b002b1e0,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C8XK55_NAKMY/580-614,701c8e08cff83ab51a26f3718eded24e549bd3a870773f5d255509e81f063f9d
NEG_PF00367_03d2d2b5fe7e9d1b689a,EIIB_03d2d2b5fe7e9d1b,EIIB_03d2d2b5fe7e9d1b,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D1ALE5_SEBTE/464-495,345aae415c36988c9672313e66a9ddabc758a7de34a705462f59a26c6dea79e4
NEG_PF00367_044eb8a37c0e382997dc,EIIB_044eb8a37c0e3829,EIIB_044eb8a37c0e3829,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q8ESL2_OCEIH/9-42,5a879dd4a2b547cb81c0652a30dac5f362ae5ba1785d589a149221f807b75654
NEG_PF00367_0467c9bcfb55749162a6,EIIB_0467c9bcfb557491,EIIB_0467c9bcfb557491,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q9CK81_PASMU/375-408,d41b0c5a68af4a23ba9fea25236a688c60ed06e988a3ad0901b7187bcd9cf5b1
NEG_PF00367_04b74a6d1012fb7e6d38,EIIB_04b74a6d1012fb7e,EIIB_04b74a6d1012fb7e,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q7N8Y0_PHOLL/8-41,1798123390f7763f2fcc88c731606171c9cabc7086e4a540f44edf05a3227a5a
NEG_PF00367_060fcf86b1f04addf0b3,EIIB_060fcf86b1f04add,EIIB_060fcf86b1f04add,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q8EVV5_MALP2/202-234,c025af00008b8769f2eba817cef1ce181f1063c7b1588b4c1e0398ca2c11ff63
NEG_PF00367_075a49559896e2e16ecc,EIIB_075a49559896e2e1,EIIB_075a49559896e2e1,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A0A3N4DKR6_9ACTN/5-38,e0278af81a8180f163f902682f3bdbed0e2d60476dc5012848b728957a2794b8
NEG_PF00367_0795b18efe1124fc998f,EIIB_0795b18efe1124fc,EIIB_0795b18efe1124fc,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,S5M1E7_9MOLU/614-647,edbf46d667f37559fc1359a0cf87141184605c3fcf0034cea1e88f26787e86a9
NEG_PF00367_07a0c2d6f24fe3d6ea95,EIIB_07a0c2d6f24fe3d6,EIIB_07a0c2d6f24fe3d6,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q7P0K8_CHRVO/387-420,941e30258f4297f1bfae306607b6e2ce45b9ab46298c68306c2db3c0fb13304e
NEG_PF00367_0873e7f86a4cf37d0752,EIIB_0873e7f86a4cf37d,EIIB_0873e7f86a4cf37d,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A0QU86_MYCS2/456-489,161904184b97372ec7ff6d7b5ad66e8814fb2bb3ccc83e2712417df7a3a34005
NEG_PF00367_09224c3a967e74d23468,EIIB_09224c3a967e74d2,EIIB_09224c3a967e74d2,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,J7SLD7_MORMO/444-477,dece96cf0c89062e5b8a559900931fc087f0a4fd09b3118cd375ee1f5697aefd
NEG_PF00367_095e34008bddfc210f1d,EIIB_095e34008bddfc21,EIIB_095e34008bddfc21,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A0KMI2_AERHH/8-41,5524da6561a59f6bfc908843a759bc79339dbbaa7f712344942384af2bbcba2b
NEG_PF00367_09f2b403e7626ab4fd09,EIIB_09f2b403e7626ab4,EIIB_09f2b403e7626ab4,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,SACX_BACSU/7-40,915cdb952e6d2ac80c92577ee7f433e1cd3daedff1592874890248c0909a15bc
NEG_PF00367_0a6c557e21f631bb1232,EIIB_0a6c557e21f631bb,EIIB_0a6c557e21f631bb,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,V5RI51_SPIAP/176-208,ca5c6b5d530c8de924e3fcd6797a46b94b0badb6ece9655f9cb4c86a2e1d5b01
NEG_PF00367_0a7a1cdaaaf301cb9ac5,EIIB_0a7a1cdaaaf301cb,EIIB_0a7a1cdaaaf301cb,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,I0JIW6_HALH3/394-427,131861e90822c156917545fb16b22c2a221dde9cf16f70e4b01c3227c61715a3
NEG_PF00367_0a8552f9983b0bc6969e,EIIB_0a8552f9983b0bc6,EIIB_0a8552f9983b0bc6,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,K8E2I3_CARML/454-486,5a03fb0860472822e0df2d1fdc2a517182fe1b29eda3739742bc5eabf0207fbf
NEG_PF00367_0b593fe56fd2fe836715,EIIB_0b593fe56fd2fe83,EIIB_0b593fe56fd2fe83,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C8W8G8_LANP1/9-42,c623254824e57ed9cc343ef94b6089a3473972ee7146b85947c317d1562deec4
NEG_PF00367_0bc7a33268ab4d406038,EIIB_0bc7a33268ab4d40,EIIB_0bc7a33268ab4d40,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A0A396KB15_9CLOT/450-483,1d9d910f260da8d31ac1a019b45982fe4f7f48bcfbd82ed005268e5fc862635a
NEG_PF00367_0c296cf1c5c137cb3854,EIIB_0c296cf1c5c137cb,EIIB_0c296cf1c5c137cb,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,M1MWZ9_9CLOT/8-40,f342a2987af5df6b84c5188c22598732ed63a1c06b42a327c3573ba8c266da74
NEG_PF00367_0c412daba4d09a61e981,EIIB_0c412daba4d09a61,EIIB_0c412daba4d09a61,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,W6A711_9MOLU/179-212,f92fd66c39f223a87a432b8ff5e2b6ff6a7f5772c8ba4c92fb9d36724b76a8a5
NEG_PF00367_0c5625d35900723dfa97,EIIB_0c5625d35900723d,EIIB_0c5625d35900723d,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,I5AXA2_EUBC6/12-43,4d3cdb13a217e4f2aedd9f491052ebd90c807a7f2c8d36c1a6623248a8e39435
NEG_PF00367_0c7947732c6483b5a9e3,EIIB_0c7947732c6483b5,EIIB_0c7947732c6483b5,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q8DUF2_STRMU/10-43,c4d3db50d7a9c9aebe7179acde5831d581cb6e0f8fe571ef1fea676f3865df80
NEG_PF00367_0cda07e33e995967e3fd,EIIB_0cda07e33e995967,EIIB_0cda07e33e995967,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,PTGCB_BUCAI/404-435,9cfc92182981596e4570e5595487cb7d1eb378a7cbcfcb570c95bf28c8b98179
NEG_PF00367_0d8b6e970a7bc4086ad4,EIIB_0d8b6e970a7bc408,EIIB_0d8b6e970a7bc408,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A0KPR6_AERHH/42-73,5e6ab697f717b8951a32430f7b856d5fd1410cecc3175079e809ae9078435620
NEG_PF00367_0f7cdc43ff65bfec32bd,EIIB_0f7cdc43ff65bfec,EIIB_0f7cdc43ff65bfec,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q2FVP0_STAA8/8-41,2817cc62b979f6f64ea96ebf83c09cf7dcd41801fcc1681d9ce4e410b486701a
NEG_PF00367_0fe1bc4d84428f9583cc,EIIB_0fe1bc4d84428f95,EIIB_0fe1bc4d84428f95,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q07ZS2_SHEFN/410-443,a2ad08cb641a01cede4de4f315c459285dc6681c7d8c23c0fc8031c970727dd2
NEG_PF00367_1015bb26587b0d8257ec,EIIB_1015bb26587b0d82,EIIB_1015bb26587b0d82,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,B2KEF3_ELUMP/410-441,08819446c65595f901c40826db39a23efb0cf5d7dc5f40117b0e3c2b558bcfb6
NEG_PF00367_101d8e08cd7ee42e1d0b,EIIB_101d8e08cd7ee42e,EIIB_101d8e08cd7ee42e,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C3PJW7_CORA7/445-478,c24e854cc1b880f9e31ee6e64627000ccac033bb8b6c9ad4a00edb58543eb855
NEG_PF00367_10b369f636cebb68990f,EIIB_10b369f636cebb68,EIIB_10b369f636cebb68,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C9A5B4_ENTCA/8-41,2a1cba323fae720941d866b7d075678fd22083aace2feb0847a4cfe64fdd8647
NEG_PF00367_119a7fb9bc11fee34280,EIIB_119a7fb9bc11fee3,EIIB_119a7fb9bc11fee3,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,S5V581_STRC3/10-43,e7818f30dd641dc3e6d825f2f4ecfb68a39b60d23b1e0a30190d3a9c1bacdd2c
NEG_PF00367_120b4a2977275b257ab3,EIIB_120b4a2977275b25,EIIB_120b4a2977275b25,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,K8E2Y5_CARML/8-41,6245bba79be0760bc15a15a554b186aa9605ac159446de4d8a56a511b08e7078
NEG_PF00367_12773debf86d74b11e13,EIIB_12773debf86d74b1,EIIB_12773debf86d74b1,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,F2I468_AERUA/413-446,fa8a8704e21f53a4a69a5fabfe0f9a85ba2f80ae1489f6ec381d451cce4ba42e
NEG_PF00367_12cc05ac8ed16ae1c57b,EIIB_12cc05ac8ed16ae1,EIIB_12cc05ac8ed16ae1,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,B9EBW2_MACCJ/443-475,d8032dc1c4696e7e77456cbb226b715772f4ffabefa8792268b40e2e86831a19
NEG_PF00367_13f02388052e92c0b39a,EIIB_13f02388052e92c0,EIIB_13f02388052e92c0,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q8XIG3_CLOPE/432-465,15fc5f9ceab949f4429bf7ad740c77f8aea951186f3dd65197e5d899e79ae8be
NEG_PF00367_1400733df7d5f24ce069,EIIB_1400733df7d5f24c,EIIB_1400733df7d5f24c,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,B9EA21_MACCJ/10-43,99ed0fc3567f4ab9adb11d2bbe39dd7f093440556fa8b4528534361384088b58
NEG_PF00367_152c05717a65ea7c3b49,EIIB_152c05717a65ea7c,EIIB_152c05717a65ea7c,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,I3Y5R4_THIV6/622-656,e6c26444cdbdb366be8e8e282fa95f0482db2c060fd6f23b6b45f944eaf913ad
NEG_PF00367_153fd648e78347e1908e,EIIB_153fd648e78347e1,EIIB_153fd648e78347e1,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D1AFF9_SEBTE/8-41,a3be2db50de1748a688e3666a83286be1db48211e205f19bf0bc3ac716b40a62
NEG_PF00367_1578acc4bb703b8f9004,EIIB_1578acc4bb703b8f,EIIB_1578acc4bb703b8f,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q04EB2_OENOB/11-44,f4b537242fe4a9a0153db9b6a5ce9c647c671c31ff1ba17c8d41f3a1679d1af9
NEG_PF00367_15b6dac0a7aa0ca07867,EIIB_15b6dac0a7aa0ca0,EIIB_15b6dac0a7aa0ca0,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A0A0H3GQ78_KLEPH/394-427,5f16b518383f6c95eb2765db80394b0017f827f13310f7ee9d1a82b6d6da2939
NEG_PF00367_1668addad35886c751c0,EIIB_1668addad35886c7,EIIB_1668addad35886c7,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q65MD8_BACLD/8-41,d3ff2362ac9947e2a73bafebb0292e6f4625ca9384ca844d9621b3e18fc0d33e
NEG_PF00367_1746c8e1261ba79ccb0f,EIIB_1746c8e1261ba79c,EIIB_1746c8e1261ba79c,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q184W5_CLOD6/10-43,eb350b68f999c389ded8596d550be2cbe99f652e7ad2d9d941f78fec33670617
NEG_PF00367_17cc17696a282e3958db,EIIB_17cc17696a282e39,EIIB_17cc17696a282e39,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C8WAF0_LANP1/8-41,0dac877ef8af76bb23ce1e4ea10c80056b143fe5d9dbb737f0ecaef619637ccc
NEG_PF00367_18115b490417cd131f4c,EIIB_18115b490417cd13,EIIB_18115b490417cd13,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,S5LXD8_9MOLU/604-637,3a8ab50eba7e6540d223dc838fba7fa247ce10c13d5412db1c6c48f478b3947f
