seq_a	seq_b	identity	coverage	comparable	identical
NP_213999.1	WP_010880937.1	1.000000	1.000000	387	387
NP_443795.1	WP_010875054.1	1.000000	1.000000	467	467
NP_443795.1	WP_011971022.1	0.985011	1.000000	467	460
NP_443795.1	WP_075634049.1	0.901499	1.000000	467	421
NP_443795.1	WP_088194762.1	0.907923	1.000000	467	424
NP_443795.1	YP_001314988.1	0.985011	1.000000	467	460
NP_630911.1	WP_011031225.1	1.000000	1.000000	398	398
NP_681738.1	WP_011056792.1	1.000000	1.000000	350	350
NP_681738.1	WP_024125870.1	0.931429	1.000000	350	326
NP_952414.1	WP_010942012.1	1.000000	1.000000	423	423
WP_000151321.1	WP_004710421.1	0.949495	1.000000	396	376
WP_002566035.1	WP_048931269.1	1.000000	1.000000	417	417
WP_002801241.1	WP_008205290.1	0.944598	1.000000	361	341
WP_002993156.1	WP_054407042.1	0.972789	1.000000	441	429
WP_002993156.1	WP_099372365.1	0.997732	1.000000	441	440
WP_004290502.1	WP_009126228.1	0.966265	1.000000	415	401
WP_004308218.1	WP_004318406.1	0.997680	1.000000	431	430
WP_004328663.1	WP_083871010.1	0.927536	1.000000	414	384
WP_004328663.1	WP_099290241.1	0.961353	1.000000	414	398
WP_004594459.1	WP_006169674.1	0.987952	1.000000	332	328
WP_004594459.1	WP_008458795.1	0.987952	1.000000	332	328
WP_004594459.1	WP_049938490.1	0.996988	1.000000	332	331
WP_004594459.1	WP_049943687.1	0.996988	1.000000	332	331
WP_004748891.1	WP_011718590.1	0.986301	1.000000	438	432
WP_004748891.1	WP_020208903.1	0.979452	1.000000	438	429
WP_004748891.1	WP_036211522.1	0.936073	1.000000	438	410
WP_004748891.1	WP_092022087.1	0.910959	1.000000	438	399
WP_004968197.1	WP_049907365.1	0.980556	1.000000	360	353
WP_004992799.1	WP_005032630.1	0.993007	1.000000	429	426
WP_004992799.1	WP_005277191.1	0.983683	1.000000	429	422
WP_004992799.1	WP_061516783.1	0.962704	1.000000	429	413
WP_004992799.1	WP_101237571.1	0.932401	1.000000	429	400
WP_005032630.1	WP_005277191.1	0.990676	1.000000	429	425
WP_005032630.1	WP_061516783.1	0.965035	1.000000	429	414
WP_005032630.1	WP_101237571.1	0.932401	1.000000	429	400
WP_005277191.1	WP_061516783.1	0.955711	1.000000	429	410
WP_005277191.1	WP_101237571.1	0.923077	1.000000	429	396
WP_005372460.1	WP_031431803.1	1.000000	1.000000	450	450
WP_005580376.1	WP_097378604.1	0.969274	1.000000	358	347
WP_005801097.1	WP_051642935.1	0.997585	1.000000	414	413
WP_005801097.1	WP_057280934.1	0.978261	1.000000	414	405
WP_005864495.1	WP_008781126.1	0.997664	1.000000	428	427
WP_005864495.1	WP_016268111.1	0.981308	1.000000	428	420
WP_005864495.1	WP_032541218.1	0.932084	0.997664	427	398
WP_005864495.1	WP_033572516.1	0.929742	0.997664	427	397
WP_005864495.1	WP_044272246.1	0.939252	1.000000	428	402
WP_006019180.1	WP_074121856.1	0.904328	1.000000	439	397
WP_006054116.1	WP_006090832.1	0.925501	1.000000	349	323
WP_006054116.1	WP_058572808.1	0.925501	1.000000	349	323
WP_006054116.1	WP_074796062.1	0.919771	1.000000	349	321
WP_006054116.1	WP_089880661.1	0.985673	1.000000	349	344
WP_006090832.1	WP_058572808.1	0.951289	1.000000	349	332
WP_006090832.1	WP_074796062.1	0.945559	1.000000	349	330
WP_006090832.1	WP_089880661.1	0.919771	1.000000	349	321
WP_006111085.1	WP_049917000.1	0.971347	1.000000	349	339
WP_006111085.1	WP_049969002.1	0.974212	1.000000	349	340
WP_006169674.1	WP_008458795.1	0.978916	1.000000	332	325
WP_006169674.1	WP_049938490.1	0.984940	1.000000	332	327
WP_006169674.1	WP_049943687.1	0.984940	1.000000	332	327
WP_006328963.1	WP_023699067.1	0.987207	1.000000	469	463
WP_006580534.1	WP_045124563.1	0.918987	1.000000	395	363
WP_006580534.1	WP_058870690.1	0.982278	1.000000	395	388
WP_006580534.1	WP_087527547.1	0.982278	1.000000	395	388
WP_007013852.1	WP_082819762.1	0.995444	1.000000	439	437
WP_007013852.1	WP_095387428.1	0.988610	1.000000	439	434
WP_007015521.1	WP_024021728.1	0.969626	1.000000	428	415
WP_007015521.1	WP_068094634.1	0.948598	1.000000	428	406
WP_007015521.1	WP_075628771.1	0.936768	0.997664	427	400
WP_007015521.1	WP_093081848.1	0.920561	1.000000	428	394
WP_008390487.1	WP_011996092.1	0.933638	1.000000	437	408
WP_008390487.1	WP_036284033.1	0.951945	1.000000	437	416
WP_008390487.1	WP_099832012.1	0.935780	1.000000	436	408
WP_008458795.1	WP_049938490.1	0.984940	1.000000	332	327
WP_008458795.1	WP_049943687.1	0.990964	1.000000	332	329
WP_008504757.1	WP_074487304.1	0.992188	1.000000	384	381
WP_008580551.1	WP_058568616.1	0.957547	1.000000	424	406
WP_008580551.1	WP_066419254.1	0.981132	1.000000	424	416
WP_008580551.1	WP_089699122.1	0.976415	1.000000	424	414
WP_008580551.1	WP_092907645.1	0.978774	1.000000	424	415
WP_008606028.1	WP_077208232.1	0.931818	1.000000	352	328
WP_008615787.1	WP_025665356.1	0.976690	1.000000	429	419
WP_008615787.1	WP_047547418.1	0.990676	1.000000	429	425
WP_008615787.1	WP_074724477.1	0.958042	1.000000	429	411
WP_008615787.1	WP_101018292.1	0.988345	1.000000	429	424
WP_008631444.1	WP_014511275.1	0.993921	1.000000	329	327
WP_008631444.1	WP_038030409.1	0.996960	1.000000	329	328
WP_008631444.1	WP_039457454.1	0.996960	1.000000	329	328
WP_008631444.1	YP_145307.1	0.990881	1.000000	329	326
WP_008781126.1	WP_016268111.1	0.978972	1.000000	428	419
WP_008781126.1	WP_032541218.1	0.929742	0.997664	427	397
WP_008781126.1	WP_033572516.1	0.927400	0.997664	427	396
WP_008781126.1	WP_044272246.1	0.936916	1.000000	428	401
WP_008877327.1	WP_074270847.1	0.931770	1.000000	469	437
WP_008983419.1	WP_036958753.1	0.928074	1.000000	431	400
WP_008983419.1	WP_065578026.1	0.916473	1.000000	431	395
WP_009128903.1	WP_044264717.1	0.917981	1.000000	317	291
WP_009184284.1	WP_073099829.1	0.918317	1.000000	404	371
WP_009456812.1	WP_017309810.1	0.933884	1.000000	363	339
WP_009456812.1	WP_044451674.1	0.920886	1.000000	316	291
WP_009456812.1	WP_073555659.1	0.997245	1.000000	363	362
WP_009456812.1	WP_102182189.1	0.997245	1.000000	363	362
WP_009486613.1	WP_012659190.1	1.000000	0.996923	324	324
WP_009518867.1	WP_024146569.1	0.902062	1.000000	388	350
WP_009518867.1	WP_024889333.1	0.962025	1.000000	395	380
WP_009518867.1	WP_031431988.1	0.964557	1.000000	395	381
WP_009518867.1	WP_031656931.1	0.954430	1.000000	395	377
WP_009518867.1	WP_035619941.1	1.000000	1.000000	395	395
WP_009518867.1	WP_045124563.1	0.901266	1.000000	395	356
WP_009518867.1	WP_045765666.1	0.956962	1.000000	395	378
WP_009518867.1	WP_086904404.1	0.954430	1.000000	395	377
WP_009518867.1	WP_088912163.1	0.907216	1.000000	388	352
WP_009518867.1	WP_092569305.1	0.901266	1.000000	395	356
WP_009860218.1	WP_016278428.1	0.942993	1.000000	421	397
WP_010044791.1	WP_029630398.1	0.903465	1.000000	404	365
WP_010123963.1	WP_054435361.1	0.975169	1.000000	443	432
WP_010682499.1	WP_089230993.1	0.922111	1.000000	398	367
WP_010683363.1	WP_058195190.1	0.962529	1.000000	427	411
WP_010683363.1	WP_093081848.1	0.901639	1.000000	427	385
WP_010875054.1	WP_011971022.1	0.985011	1.000000	467	460
WP_010875054.1	WP_075634049.1	0.901499	1.000000	467	421
WP_010875054.1	WP_088194762.1	0.907923	1.000000	467	424
WP_010875054.1	YP_001314988.1	0.985011	1.000000	467	460
WP_011056792.1	WP_024125870.1	0.931429	1.000000	350	326
WP_011244830.1	WP_011378069.1	0.997110	1.000000	346	345
WP_011434286.1	WP_099812941.1	0.970845	1.000000	343	333
WP_011488074.1	WP_028223139.1	0.979661	1.000000	295	289
WP_011488074.1	WP_052303232.1	0.983529	1.000000	425	418
WP_011516870.1	WP_018005263.1	0.945330	1.000000	439	415
WP_011516870.1	WP_037057030.1	0.908884	1.000000	439	399
WP_011516870.1	WP_061958300.1	0.917995	1.000000	439	403
WP_011718590.1	WP_020208903.1	0.979452	1.000000	438	429
WP_011718590.1	WP_036211522.1	0.931507	1.000000	438	408
WP_011718590.1	WP_092022087.1	0.906393	1.000000	438	397
WP_011910606.1	WP_023920034.1	0.995086	1.000000	407	405
WP_011914275.1	WP_076815490.1	0.951163	0.997680	430	409
WP_011914275.1	WP_102073886.1	0.958140	0.997680	430	412
WP_011923976.1	WP_015664540.1	0.928910	1.000000	422	392
WP_011923976.1	WP_028343463.1	0.902844	1.000000	422	381
WP_011971022.1	YP_001314988.1	1.000000	1.000000	467	467
WP_011996092.1	WP_036284033.1	0.974828	1.000000	437	426
WP_011996092.1	WP_099832012.1	0.949541	1.000000	436	414
WP_012575214.1	WP_035065747.1	0.903409	1.000000	352	318
WP_012575214.1	WP_055441081.1	0.903409	1.000000	352	318
WP_012979970.1	WP_048201370.1	0.978723	1.000000	376	368
WP_013300197.1	WP_034826052.1	0.963325	1.000000	409	394
WP_013500616.1	WP_071036708.1	0.943350	1.000000	406	383
WP_013500616.1	WP_071069330.1	0.950739	1.000000	406	386
WP_013596008.1	WP_038205792.1	0.964953	1.000000	428	413
