sequence_id,midpiwi_region_sha256,split_group_id,curated_pago_clade
NP_213999.1,8d9f918893d9e2497c821d263c1659dc0e4b827dab1330a4cae0378b96281d9a,MIDPIWI_edb60b3761d016da,LONG_A
NP_443795.1,0dbaee278142fda64c05195b26fe4bde59a3c25d1609391b2aacb2549004e0e1,MIDPIWI_0669a0bab5d4842a,SHORT
NP_630911.1,84e31a9f6abdcceedf7ad95f340cc2f90a8b1fbeb401ca36c0d698de4c5a9a7a,MIDPIWI_1a059de56e0c71e1,LONG_B
NP_681738.1,70a3c47a5f0f31f2b9a205cba9f85c2aa26a76284b3300e766a10c49d834649f,MIDPIWI_c8324321eb0b19ae,LONG_A
NP_952414.1,d8d1dac9424a9d1f2d236623b126627687b8ac8c6a2272ecb72a8a4e72ec6993,MIDPIWI_185a3356700a01cb,SHORT
WP_000151321.1,62a069b648920502eaa715324898a97573e56205da658cc966030c658cf891d3,MIDPIWI_ef965242246eacc7,LONG_B
WP_002566035.1,e5148bf24c3edd475d50462846d2266ccc058512a779495ab9ce696c52c82ef7,MIDPIWI_f1a0592a9e0e95ac,SHORT
WP_002645493.1,514c6fe28583c54ecd397d686fa08f68d5b6ae3c3aa398f4d0004d01850ebff4,MIDPIWI_9d72d4def293655a,SHORT
WP_002801241.1,23552d27247bbd76105776a2fd2ed5d26e0c0efde1c0af0a21a88aa207079ced,MIDPIWI_01dd422b1c3ec451,LONG_A
WP_002993156.1,a84e0e4b347980f26ba5eb182091320c116de5b4448e0689f52896f096983869,MIDPIWI_6797810d355566b9,SHORT
WP_004290502.1,1303287fe2559fabdb7f02f317f84f758dca2471ea58e36734939ead47ee7c6d,MIDPIWI_2f7f9a8e822f7b98,SHORT
WP_004308218.1,161761940a1c00f3086350f416c5f07798df2eb6bcca53c40244a11919950e1b,MIDPIWI_e7b7af6ec7bdaba5,SHORT
WP_004318406.1,9f78cbd828e31b3fb6c7529961162438b1c8d92da2d952322062ec654705adc0,MIDPIWI_e7b7af6ec7bdaba5,SHORT
WP_004328663.1,f311bed022af868ec6edfa81487f7b841629a302c4928c6e8f37de23ad2c0c70,MIDPIWI_603c479fea8b23fb,SHORT
WP_004492459.1,d95284e363707844f9b55befef52d50c684e68b6f2ba52677dfd4bef888b6c18,MIDPIWI_9a8523911e3d2b6f,LONG_B
WP_004594459.1,08b2870251686e9a6c0604ea378db72cbd3c14e1f1112d729ef72c405e940685,MIDPIWI_12a0cdebdc7f010d,SHORT
WP_004624807.1,893ebd76496d085a13eae78a450cc5b01bbc77f59db57e4bf43588b140b870c9,MIDPIWI_48ea3eaf53821b49,SHORT
WP_004672358.1,cf50260f1d4d2be31216ce65aa1d31e814a2c9d2ecc0536004f1617bad66bc7f,MIDPIWI_114befab0db77609,SHORT
WP_004710421.1,8eeff20860dd157e399903700593d61a7f747364dc3963100d99cf96cd04643f,MIDPIWI_ef965242246eacc7,LONG_B
WP_004748891.1,0b80b8443ea9e0c3d28917eb808da68a5ca000570c7c8c22ec5c6d9c0b117ee2,MIDPIWI_de78cc94b1f0b12a,SHORT
WP_004968197.1,e326e8b085d6b287074b8e5a8f65ade685921209b1045bebf0145c0ec2489e00,MIDPIWI_1261d5ab6af3c92f,LONG_A
WP_004992799.1,336185a5900c26c82b5b76500ee24ca6d4f5740d5eb943cddae92a3aa56ccc00,MIDPIWI_46fcecc2fa34919b,SHORT
