seq_a	seq_b	identity	coverage	comparable	identical
WP_003280119.1	WP_102073885.1	0.937063	1.000000	143	134
WP_009043888.1	WP_080902475.1	0.909091	1.000000	143	130
WP_013637054.1	WP_095447452.1	0.941606	1.000000	137	129
WP_013833356.1	WP_085933358.1	0.920245	1.000000	163	150
WP_027160975.1	WP_067325608.1	0.905797	1.000000	138	125
WP_028337809.1	WP_050631536.1	1.000000	1.000000	71	71
WP_034679768.1	WP_052114702.1	0.935714	1.000000	140	131
WP_039858603.1	WP_084625517.1	0.915152	1.000000	165	151
WP_050399989.1	WP_091963848.1	0.914286	1.000000	140	128
WP_052259141.1	WP_075285887.1	0.916084	1.000000	143	131
WP_052259141.1	WP_099588558.1	0.902098	1.000000	143	129
WP_052744930.1	WP_071098581.1	0.989130	1.000000	92	91
WP_059945304.1	WP_089457547.1	0.921429	1.000000	140	129
WP_062785679.1	WP_083942961.1	0.930070	1.000000	143	133
WP_064102550.1	WP_099746952.1	0.903030	1.000000	165	149
WP_075285887.1	WP_099588558.1	0.923077	1.000000	143	132
WP_077684787.1	WP_081684175.1	1.000000	0.815789	31	31
WP_081000780.1	WP_082932868.1	0.915663	0.994012	166	152
WP_081215336.1	WP_081912819.1	0.922156	1.000000	167	154
WP_081903350.1	WP_091639649.1	0.914634	1.000000	164	150
WP_091979223.1	WP_092996169.1	0.919753	1.000000	162	149
WP_092838821.1	WP_097082796.1	0.913043	1.000000	138	126
