sequence_id,sequence_sha256,split_group_id
NP_951611.1,2f746afa07a4d8a5d5eda4436dd9016eddcaa3b949f850913733e736b312d958,APAZ_add9dc675b7abd7f
NP_952413.1,b39dec682ca1ed4dfdd1094cf75fdc75fc643bf763fe2462d72158b821984645,APAZ_463d55ff939a9eb1
WP_002566035.1,a04f00d17801fad2ad4e421f2820c2dca713a4dd5d1cf8b5e8dbff3b62b7cc2f,APAZ_c65d94d5cd7800bc
WP_002993155.1,d9b75acf02d2fc41442563d2751a79d86b5c7150cff3438608b119292bda7295,APAZ_ff242df0b3d7d719
WP_003280119.1,18de24a0d5eb6806816939e4e40aae52a4114b598c2e85d71aae2dd87cb8c5a4,APAZ_5396cea7a74a8afb
WP_003807800.1,d7f9410b25a775edd31aa72fab474980f8f4d2ec4d5b0957baaf57edcc36a587,APAZ_5f1793b22708bf82
WP_004264290.1,ede840d9f05e47692f6ad291b1f74fc20581c84a058882ef025adb55b1f92e2c,APAZ_3b046cd327227c7e
WP_004271609.1,43c5e41be8a60eacec5bda26bcd3b17988baefd4925359d22b8b126331d58595,APAZ_50410f8ae2a66c71
WP_004290502.1,efda8b7e2465df1396f5cf0519b7f4d8c1b483ab67326129d52b76b933aeeb1d,APAZ_9b4e33778023239d
WP_004308218.1,0b6c348c262c93e8b783283057fc548e7980abe7672aab9798e74d975ce8f5ed,APAZ_db7a4da6e2ba7f40
WP_004594199.1,9f7174f86324bc12f3c18c0df04cbb1a533c8ff05a35b780b69f702a24fa3712,APAZ_3e86350f99879f5f
WP_004624807.1,9090b4d487021677e478c766b0a8f37f411eb9fc69e17ee9267cff12c561f5b7,APAZ_48ea3eaf53821b49
WP_004748890.1,23b92c3f7c74274e9d598fa316e393c09ba168df52069a804114079aa88a9f5b,APAZ_a4b1525fda783880
WP_005277191.1,25e3b48902bbf8cf63ee349e9489b1c08930ff5857a24fdfa1b09533399d4f96,APAZ_977d9fce12796157
WP_005372458.1,7d5d282ffaea062c4ec5bd859ef3d7db71bd9b0e3d189efaded3a7dd70af8955,APAZ_cba5df4cf5a3ab38
WP_005783348.1,3680a00c5e37dc480ac39388a93810dafc41dd9d4e621d975c779b99c3e0de41,APAZ_54b9834122e9db1d
WP_005801097.1,27332b4ca1a3b10bd3520cd33df5a92476ec2f35f37af073b9877736ea83d15a,APAZ_70ed68a4b4708b4e
WP_005988489.1,4cccce65ebeb44c3145c1a93581f81ba2224e15789b43d81794052a4a2f6c06f,APAZ_1a99018ce6e9923e
WP_006019181.1,8bbef9fac8256ca1cbbeb00ea2b5b0c8a63dc0b658828c558cc4c9c43fd1b62c,APAZ_17a026456ccd491d
WP_006270760.1,3ba57c683913969539dc505f68fc4d8be3ad8b3e9800523e023273654663da51,APAZ_88a8a7382ba2b9b7
WP_006685036.1,4380bcd45a2f5c73a49b662b5a45905f4111462c971ebe99fd9b887179e3215a,APAZ_b56eeeec1ad17b4f
WP_006746222.1,af60b577e885b296cc72ba5f8b1d3fc996cdb2ad3a68db50d8ea1c69a6fc2789,APAZ_e3f215f605fdb3f6
WP_007215639.1,19d3e9df637561bd6ddc70814b641df7f7b0321423db9e819dd5b6dad4d3363d,APAZ_32d75c4897e9fca8
WP_008137934.1,f3b98d52e918cdea3000cdf84d811cdb222320b8cd2554fdb7d6c0756ab40488,APAZ_8204295a55dda992
WP_008140723.1,9a6b258e442fd49342139958b55c8366cdb331546e39cb350fe58bb382ad6b5e,APAZ_ee372cb479fba6cc
WP_008387995.1,74e4c86b786a51d3eea3966171684aee3827421eb9fda14a5db1f3bf63170eec,APAZ_4d229b8e5f46221a
WP_008510818.1,a5f4fd9b308f1053ffa4038054ce47e30e500eeb13f189ba6d4e9737c1184b7a,APAZ_f7b50bb04e34279f
WP_008615787.1,53ddf85b002f1c375b8cb2d435f7d62f33bee106205269b52de766ccb65582ff,APAZ_422c4d267d2b0937
WP_008657175.1,355c9166c6d31dcc514a43ee3ea3b9d6b12a13854fa5de1c130d5effa2305fff,APAZ_9a37def19f3dcaab
WP_008706033.1,c04288f71d468e99fd863ebaea1c48513c308532d1eed0155e500638b1758099,APAZ_ba771b4336db4603
WP_008781127.1,b581efd4caee436b5d4b5d3dcf89d96158a77bb6189a1da631723cefd1a445cf,APAZ_3e3154d632484dc5
WP_008877326.1,e696bc68ccee690502d6c8a11e1c1bf1ab14328d03b3006995a0a7b57ee42765,APAZ_56579b2fe32bfa35
WP_008983418.1,239ea83b7d000c4684c6329681bad2f140e598ba15b98a84b45bcdc7163fd8ce,APAZ_fd437e4d694e45ea
WP_009043888.1,462d58156c2da7644a2e84943efa801bda39f9bcbf949b2c9448e3bf4348eae9,APAZ_84518391a2f43786
WP_009301608.1,e280207d3678821a0dba8145f3f24d2ef1910a303f9f33d52c38e519313193fe,APAZ_ba4e85de54dc524c
WP_009507644.1,edd2da1ee17e0bc1ceb8cf4e662b8e6a80d33e5eb948ef2b020f7a476fbfde22,APAZ_be13a615c7bf8e38
WP_009860218.1,ff4db94e5dadf3e46fc68c6bcd91e66a163ef85fefa863ae2f746ac7657a2737,APAZ_160fe183df39f647
WP_010123961.1,fdc8f167c9d1490972af5a2c6525fd52743ce2a766282ed22853be08d255007a,APAZ_11696bd624251659
WP_010165148.1,e2d1e89dd1a8d50629c84cb343be8b7939a8f109b7cae21800bd1a217b070f53,APAZ_bc184db384853d4d
WP_010424308.1,5737a497e8d7aa2e190de5555fa3f80df85e3befbf5bec81f0ae3336e8e49752,APAZ_fd3aec8c2d54d233
WP_010683362.1,95b3476001b09c790b0162209b258192540d54e618cfa76401579511eb9a9904,APAZ_f5d6c4b154836107
WP_010913851.1,5ac98f9490b9f901cd2cba1f33f5477a3daa4b374414ca23c95c31a02e606d9b,APAZ_d4a723c162d073aa
WP_011021017.1,e86eff14d28bb2c384abb120fe4167f188856793f10ad7cd90a40ff00f55f0c5,APAZ_3d6526e5d2894d6d
WP_011504021.1,3a989cbc1dc19883194c9f5d765ec8ec9a6c5e0b44ed3863dc8396ec9aadd610,APAZ_4e2ff2caf012ce82
WP_011767948.1,edfd305a1d71fe85c9f2b0a9f24b0c71ebe7ea0054857b47d96a36a04e92a1cd,APAZ_b2d23b2179d83d74
WP_011831497.1,431f77779dcfdefcc7b3c015df447bc30e3c3d258e0e2ba79d01135528241eba,APAZ_6818fa90569f7d08
WP_011923975.1,72130f23279dd894174f8bd7baabee3c5a4f7a2ef8ba37d764b7257e19ad9496,APAZ_3cb9f8bb91cb9acd
WP_011940822.1,9e0f8c164ff7c249568405837339eed90e23f3549ff32ce7dd55ea6d3d787fc1,APAZ_5ffc1d09a6018ba1
WP_011971023.1,2796ed07a953029aaa88a7b813610358330b6bfab10b51c0d38bd8fa99860ae7,APAZ_e6f77690fcb33135
WP_012222258.1,5323bb232e098169feaae8b2fd2f9714cb783b163c1584bc4f8add4a16677b78,APAZ_b8f4921e94892ccc
WP_012473795.1,a2d659a0a8863bd7cff7e7e1a6e433015bbb63b9ca63755148d9ade569b33f98,APAZ_70a8d8865319e21e
WP_012486312.1,3859b4b9d9ee7e8835e829d48f70721b9874a51f255918d5e44eca0ed8c3fb99,APAZ_aac93716b425e859
WP_012489404.1,6c59d72e183a33b019da927bf6ad0dc9688b391e38062e4b1c42eee69f529404,APAZ_df243f09c1cec7ab
WP_013078838.1,6024822dace41ade1fe32c803e8f770766cb2173cf91b17aa251a3956e2d24d7,APAZ_c48939a4fef0909a
WP_013109336.1,2ed0cb5f8e7f8f60b3de560c49fa8c2ca624650edf28aa2ebb6d7e767a6c988e,APAZ_9a9d01086064ad00
WP_013299755.1,cf6e2dbd52bd619317138536103cc9a29e49105f4814cddaf0f760b76de744a3,APAZ_e93e9959dd245b6c
WP_013596009.1,b886f537c3da15f55809744f97cdd9dde9c1072e588895b0e9dd96fd9868b375,APAZ_c87fe55c31e4f459
WP_013632722.1,84cd192323e028ab73da229fecf9dee9961009788253442b91a441d4d2616696,APAZ_1bfa0dc61830b2ec
WP_013637054.1,9642620f3e0905640022b652f9cc9f2c3d5d239f060e0d704fbcf736e838f686,APAZ_fa2c37fbafe41982
WP_013654325.1,be3c394e9c9cdbebe9ed6a4d5f92f8acd7b378083ab58ad789b06db1da2cbbd9,APAZ_c2f49c4ba7c502d4
WP_013685229.1,80ae39556ae9444a76edd1edadb918816607557af0dcd100a7d6abc574f2a1f4,APAZ_9760d53656a86ba1
WP_013801384.1,7be9f23f2adb1eefa10b58e0833b0c4743e627d96708a476e80483e28e1140fa,APAZ_b54cac981b745f91
WP_013833356.1,72bfadc022d059be3fcbfec3f6cc8f197620dd791dd52ea99aa59bf2a08722b8,APAZ_a00d3d727c91aba6
WP_014020246.1,581916a3d28514dd3a5f9f45af9873610b70fc2a21dcc4183942b0867011d14c,APAZ_fbfa5eb1cb8412a9
WP_014132757.1,f17fda5386c911d8c47a88b2da08a52007569e67001d890557817ef47ccf7b26,APAZ_e7fa82514d83b20d
WP_014200913.1,48de8d287963558fee9d83e883c9a15413047f3d39a19a41d08ce639dc1773e2,APAZ_cb1c2ad7a70956c8
WP_014387263.1,af80dd9cc155761ea25538533db3e9d4c98583ae83b1931213591958c840a92d,APAZ_aaebe8cd753cce8a
WP_014746185.1,2b848fc6cd04dd803431b8d912ace52f1d548e78068da54677fdcfeaece165af,APAZ_297e87a73c244c7c
WP_015056745.1,40cca8b0772fdc14138c09ef9964cf6f7c5302ada60a5dfd99cd8df3cf3d7912,APAZ_a441ef4b6dac2b08
WP_015449154.1,d20fd49e177dfcd99e431f97d0f11a8753257d889bcc516a818256c3313c9d12,APAZ_11a63257ef15567b
WP_015596988.1,8556f9b57ec9e27ec3371aff227dd267729faf0d9ee70dd8a0cf3e80842fa2c0,APAZ_fc71dfe05e49aad1
WP_015664541.1,65b6442e34a0a8deda3e8e4f58ccde5a12a1ead36079aab518ade028ae151e7e,APAZ_e37d88d2f9e5958e
WP_015895834.1,975200c71b357bcd55e54b93cce745e72f9cddd712d06f3143622d3a2574a3b2,APAZ_447c5456f6f06923
WP_016263566.1,30bfdacff5f0252cfe00c73f051a2d083779197652a128e2d4d053e5f157c596,APAZ_66af7f436ceff45b
WP_016278428.1,fd39cddbd40a026a7fdcebd19be42ffe56485ed5fad6418453e64f1bcc4c783a,APAZ_1cfb5007b8c25211
WP_016393047.1,35c2138122ff97f2386a7d537153ebe5663a77d3de3234720aeacbb6b7f3a95a,APAZ_64b03a7a1a1cf1a2
WP_016736429.1,1d52919c6de6f706817f6b9b3cf031db8e561fe8e3c8f0373f056a4e48f758c1,APAZ_304863381d274d80
WP_017454678.1,eebe772bdb8769141749e62ee3b8e3dd74960edbd862690bd3def06a0f22ecfe,APAZ_c66ebf0e22158c50
WP_017505568.1,097408ed05f47479c913f7df9d87dc1ca8cc5ba81dffd08a9812e53e28676fcf,APAZ_26623056970f2218
WP_018005262.1,71ac4ba6b843c7cd00a86e92de5bb13d798932bbb91b3952a9a13ea9036eb771,APAZ_acde0eb1d7d2fc8a
WP_018016394.1,d4354666b4afba9b051b953711c80612ca4f3ad823f70f7d6f870e7c5af5491e,APAZ_d651ed1b6cc412db
WP_018273545.1,d94b2f1824a075be56f53961f5631262893a99eca5fff9057576a29dad4e8e9f,APAZ_54f8e2fb026dc98e
WP_019015671.1,c09b010c90ae51736a8e5ff504dea30450b8bb081b11b4852ee03a166006836d,APAZ_dba00bbb2d13f82b
WP_019960613.1,0378b1affb7550d56b1e70053a36b883a23c3e684d8cd01a6db03a102cf87906,APAZ_368b572e5a36b904
WP_019977020.1,7934f7c357331b79152d22883753c9f7308270551ab0af0ebe49573f2cf058ba,APAZ_8bdc9f4293aa9d9e
WP_020809957.1,29f4816c1ade5b44ca509abd70b5f35598fc8f0cb7d36ef57b138491ec3b32cf,APAZ_d40cec004dcb0a9c
WP_022545094.1,fed66ba87e3a865f5ce79b31a26450ca8b55ef4c1cf721e66fcd21d332915735,APAZ_1e53ba49c8e3f1ed
WP_022727544.1,0008406a215f0140ff7994e3b17a90d459d02f038e15a29ba17f7c33569ace22,APAZ_cdf3c2248bfb1e50
WP_022787370.1,f6656a1cf155222b683eb526cd4d391139baaab4bc857a8414a466ba662ae210,APAZ_6470659e2b2a6099
WP_022842741.1,673aa8e46d33216b6224b2edbee95fbf88e177579f68a4b987f4e40359c74a55,APAZ_1d2042456bb72a1a
WP_023680066.1,c38012405a98b7d7bc04c1ad7fe7ce72ab35cdf0a55dea4422b064ceadc96185,APAZ_13f2fe13fb2844b7
WP_023692463.1,7858943f1cd050da673f3dd96a045a0b2cd82609bba580097556e226901063ac,APAZ_c7b9604a7bcbbf7d
WP_023699068.1,c938443248c95b3b6ed38922eb19077fd9b256331f8f6e3770f8c7f0061e96e3,APAZ_c26a64e47863187f
WP_023727136.1,e0e540da8397572e8abea226538619c1c3f7af5c8f2d535ee4ad8aae36579354,APAZ_fd2635690a3d0152
WP_024740054.1,8b6e095991f93d3f2921b2928d759f4652861201775cf05dbd9ff4648328835b,APAZ_91ead9830ee7377b
WP_024810211.1,25ed3903c8fac32e45040fe3ce65f25f7b17badb88b12c48e8fbf31665732f05,APAZ_655bf87ed910a941
WP_024973836.1,1c73d63c3c8dbc772654becc7a8370db92a34d89543cf871be99ae0d44e0ee68,APAZ_2fb2f3da3b97ce2c
WP_025030983.1,046f91a22fa645641f77546efc35bc1afa8412b45057e6073391603e12cac971,APAZ_1394aa9a31cc9f35
WP_025493197.1,126e8a412edfa1635de134cd5cd092757b675b658ccd844a5afa005bd493949f,APAZ_e2d98f9e08e8d8c4
WP_026042451.1,a5a37a7a39d5b7cf0677533c9d401363835e3fe891a4cfc8249c7679c4dfc710,APAZ_e7e5f5f6ed01f856
WP_026782276.1,e41d18c0576ad1b2bb08ad4ec9610b650fc2fee1958ce944b4d845187b9ea8f9,APAZ_f3d988a13cb6ca98
WP_026808685.1,9cffe9e5f6e131000c27e96dcf616b05579c8516b51bcb1812c1696506bf8a61,APAZ_8466882a4deb1cbb
WP_026932797.1,662300c14552b782b47be7349a658d5803b718f36e56947054c59c95948b58c2,APAZ_67eb007eb3227ad1
WP_027101516.1,a8c4211879f2d96f495356f5af40edbaeebe20d3186e0af0e33dc7ca47c93ab2,APAZ_5069332210c3da36
WP_027160975.1,67cdf9047fcfa79faded7ce812687e68d184d67f897895dc828acf4bf90c2aeb,APAZ_abd16c63e8900aae
WP_027412346.1,8da0acaa83c74bcce4ab0c8e21462cc21ac937078e66eb2bce02eaba0095522c,APAZ_334de62ea9a823be
WP_027853030.1,1319bd4fe9f089ab56f2b565c47224d796a5c0c4a54ff51de01a7861710aa8c2,APAZ_3862fffeb98c28b8
WP_028057923.1,27e153983559d6056e77cd871ad8a02df0350acc8d1d9e881deeb35d33015825,APAZ_1bae91b4c15bc867
WP_028081100.1,be94877de76809b1d6a9670f96f040ec4754cf74d7ffe3d43e3422224eae1987,APAZ_81c80428baf034dc
WP_028095445.1,e3f3425b13761c5b06c9441ce68d7bdfe0b5a85eaf3146b2f1273f720053588e,APAZ_9456f78bedeb92bb
WP_028153625.1,eddac033917447c78e2d194d49c3b0f96586e8ebc0462174f12e529b515e1aec,APAZ_ff6ac628117071db
WP_028337809.1,b14188e5111b30921e8ed25ca04c04d06ddae0f6ec854cd92ffa257d8e79fbf5,APAZ_152263891ba8f4a9
WP_028849834.1,1f521f4143324e66c092389b2443955500f87650949ca3eb04bbf61273dd2397,APAZ_f74a66c97cf26409
WP_029005631.1,056612d0d3b3bfada4902b7d6a8e171d1f411f3721a5a90253cb11eea65fce25,APAZ_a57bca24e5e9981e
WP_029134085.1,95980cadd0371983386d0d29b66ad72f719956610b0b3bc7ff43568b47a5b803,APAZ_a4ada87a9bc5ed07
WP_029193119.1,0268222353bdfb79c1ad347474fcf4facf9400127123d589b199f47955b72deb,APAZ_105569cba2c176c9
WP_030539670.1,a5d086184123cd36a0379903e2ab8a49a34f642b5d31feca08a9a2bf173ac725,APAZ_487c56237b68af13
WP_031452536.1,03a2f16614783c5b5311a00126fbf13a705a38644c79158f92b27d9ef3a3aa27,APAZ_14c1bc5278fbde14
WP_032541222.1,c562f74452f3c6d045d1472150af12cf013f2eef6b180256705eea9449b3cec5,APAZ_a1edd7b81f8ba8f9
WP_033317603.1,df15bc8876223f1b2686cea8c2da4a96c896ce2e2efba8e86a20f8a99bc93a92,APAZ_c32006e4481113a0
WP_034679768.1,6df8c2006ce046fa8e064385b9deb297e94603be7bf1a57721b1cd3edb1ec568,APAZ_55fee246fe9d9bc4
WP_034728376.1,b9c05b1596a539c9b5b8d5f7c31a8711b2aa5a709a6579e075923f5ebfb88dd6,APAZ_6346993704d93107
WP_035240078.1,42c4720c579ebf7816a0e3f3caeb04625beef5bd6eab24760b79efe846d476fa,APAZ_009916e665db9575
WP_035638686.1,af480a6b8fea5ae1129d71f86665823febc8df3cdf713a7a9128eb9f809db735,APAZ_1d77c4d2cd18eefe
WP_035838021.1,500eb5a2708dc5b4dbdf8dd2ef8c392fb3a385dea59a57818eae5caac31e8fda,APAZ_e7029d891c15f63c
WP_036017302.1,e772075b7cf027dbf04133c71ef33990594967759445767e78d4e40f59f799fc,APAZ_309c53f41aef728a
WP_036051529.1,ef414d951ef7d985efb293203080a6f979908849c14a19c197c10ad513273897,APAZ_92307cf5d0cd173a
WP_036212047.1,63ae946dc8cfe2dd64a74dec60e25be2f2968322f385537a94eb4089fc5001cb,APAZ_8d9cc7b1e2a327ba
WP_036267940.1,380d243b24e834250a5e880497952040484155399db76022cbcf8abbfb6900cc,APAZ_b765f89408b2de9a
WP_036284031.1,bd7cad6f8cb714fa1e8d00ed4bf00fb3d1164a079d64bafff062f052bbd7bf6a,APAZ_ac1c2e4ef266eeb3
WP_036632782.1,7575316fcd76d3f150a49f336e086ca7ec35ea501c962137f4ea3dc188388e75,APAZ_3dddb128bdfb4892
WP_036945621.1,8f4126bd823e517fd7088bf3064fc6f8af91ec22231837faf45189b167b60d05,APAZ_66832b9026a2b0a5
